exp,inoc,sal,trait,mean,sd
lab_iso,Control,0,germ_n,20.0,
lab_iso,Control,0,seeds,25.0,
lab_iso,Control,0,root_mm,62.43,1.19
lab_iso,Control,0,shoot_mm,52.6,3.78
lab_iso,Control,0,SVI_reported,4151.3,4.68
lab_iso,IS-01,0,germ_n,19.0,
lab_iso,IS-01,0,seeds,25.0,
lab_iso,IS-01,0,root_mm,55.66,3.05
lab_iso,IS-01,0,shoot_mm,34.0,4.58
lab_iso,IS-01,0,SVI_reported,6724.5,7.63
lab_iso,IS-02,0,germ_n,15.0,
lab_iso,IS-02,0,seeds,25.0,
lab_iso,IS-02,0,root_mm,40.33,0.47
lab_iso,IS-02,0,shoot_mm,50.66,1.15
lab_iso,IS-02,0,SVI_reported,7420.0,5.5
lab_iso,IS-03,0,germ_n,17.0,
lab_iso,IS-03,0,seeds,25.0,
lab_iso,IS-03,0,root_mm,32.33,2.08
lab_iso,IS-03,0,shoot_mm,42.33,1.52
lab_iso,IS-03,0,SVI_reported,5226.2,0.57
lab_iso,IS-04,0,germ_n,21.0,
lab_iso,IS-04,0,seeds,25.0,
lab_iso,IS-04,0,root_mm,73.0,4.35
lab_iso,IS-04,0,shoot_mm,83.33,3.21
lab_iso,IS-04,0,SVI_reported,10511.6,3.78
lab_iso,IS-05,0,germ_n,20.0,
lab_iso,IS-05,0,seeds,25.0,
lab_iso,IS-05,0,root_mm,63.0,1.0
lab_iso,IS-05,0,shoot_mm,72.33,2.51
lab_iso,IS-05,0,SVI_reported,10826.4,3.05
lab_iso,IS-06,0,germ_n,23.0,
lab_iso,IS-06,0,seeds,25.0,
lab_iso,IS-06,0,root_mm,52.33,2.51
lab_iso,IS-06,0,shoot_mm,92.0,2.64
lab_iso,IS-06,0,SVI_reported,12989.7,1.15
lab_con,Control,0,germ_n,17.0,
lab_con,Control,0,seeds,25.0,
lab_con,Control,0,root_mm,43.5,1.09
lab_con,Control,0,shoot_mm,33.78,2.3
lab_con,Control,0,SVI_reported,5161.6,4.87
lab_con,C1-3,0,germ_n,14.0,
lab_con,C1-3,0,seeds,25.0,
lab_con,C1-3,0,root_mm,70.0,0.0
lab_con,C1-3,0,shoot_mm,44.0,3.6
lab_con,C1-3,0,SVI_reported,6270.0,3.6
lab_con,C1-5,0,germ_n,15.0,
lab_con,C1-5,0,seeds,25.0,
lab_con,C1-5,0,root_mm,63.66,1.52
lab_con,C1-5,0,shoot_mm,51.66,2.88
lab_con,C1-5,0,SVI_reported,4036.5,1.52
lab_con,C2-3,0,germ_n,17.0,
lab_con,C2-3,0,seeds,25.0,
lab_con,C2-3,0,root_mm,41.66,2.08
lab_con,C2-3,0,shoot_mm,33.33,3.21
lab_con,C2-3,0,SVI_reported,3750.0,2.0
lab_con,C2-5,0,germ_n,21.0,
lab_con,C2-5,0,seeds,25.0,
lab_con,C2-5,0,root_mm,83.66,2.3
lab_con,C2-5,0,shoot_mm,61.0,1.73
lab_con,C2-5,0,SVI_reported,10680.0,58.02
lab_con,C4-5,0,germ_n,20.0,
lab_con,C4-5,0,seeds,25.0,
lab_con,C4-5,0,root_mm,90.66,0.57
lab_con,C4-5,0,shoot_mm,68.33,2.08
lab_con,C4-5,0,SVI_reported,11925.0,1.73
iso,Control,0,germ_n,25.0,
iso,Control,0,seeds,30.0,
iso,Control,0,root_cm,4.3,0.1
iso,Control,0,shoot_cm,22.96,0.15
iso,Control,0,SVI_reported,1131.2,9.33
iso,IS-01,0,germ_n,26.0,
iso,IS-01,0,seeds,30.0,
iso,IS-01,0,root_cm,5.4,0.17
iso,IS-01,0,shoot_cm,26.03,0.05
iso,IS-01,0,SVI_reported,1367.2,14.5
iso,IS-02,0,germ_n,21.0,
iso,IS-02,0,seeds,30.0,
iso,IS-02,0,root_cm,5.0,0.1
iso,IS-02,0,shoot_cm,23.9,0.1
iso,IS-02,0,SVI_reported,1011.0,13.3
iso,IS-03,0,germ_n,24.0,
iso,IS-03,0,seeds,30.0,
iso,IS-03,0,root_cm,2.43,0.08
iso,IS-03,0,shoot_cm,22.06,0.11
iso,IS-03,0,SVI_reported,979.6,13.8
iso,IS-04,0,germ_n,27.0,
iso,IS-04,0,seeds,30.0,
iso,IS-04,0,root_cm,4.8,0.0
iso,IS-04,0,shoot_cm,23.46,0.05
iso,IS-04,0,SVI_reported,1271.7,13.1
iso,IS-05,0,germ_n,26.0,
iso,IS-05,0,seeds,30.0,
iso,IS-05,0,root_cm,6.44,0.05
iso,IS-05,0,shoot_cm,26.96,0.05
iso,IS-05,0,SVI_reported,1215.1,13.1
iso,IS-06,0,germ_n,28.0,
iso,IS-06,0,seeds,30.0,
iso,IS-06,0,root_cm,6.01,0.01
iso,IS-06,0,shoot_cm,25.5,0.0
iso,IS-06,0,SVI_reported,1553.1,14.5
iso,Control,50,germ_n,24.0,
iso,Control,50,seeds,30.0,
iso,Control,50,root_cm,4.06,0.06
