,inoc,SVI_reported,germ_n,root_mm,seeds,shoot_mm,G,SVI,root_sd,shoot_sd
lab_iso,Control,4151.3,20.0,62.43,25.0,52.6,80.0,920.24,1.19,3.78
lab_iso,IS-01,6724.5,19.0,55.66,25.0,34.0,76.0,681.4159999999999,3.05,4.58
lab_iso,IS-02,7420.0,15.0,40.33,25.0,50.66,60.0,545.9399999999999,0.47,1.15
lab_iso,IS-03,5226.2,17.0,32.33,25.0,42.33,68.0,507.688,2.08,1.52
lab_iso,IS-04,10511.6,21.0,73.0,25.0,83.33,84.0,1313.172,4.35,3.21
lab_iso,IS-05,10826.4,20.0,63.0,25.0,72.33,80.0,1082.6399999999999,1.0,2.51
lab_iso,IS-06,12989.7,23.0,52.33,25.0,92.0,92.0,1327.8359999999998,2.51,2.64
lab_con,Control,5161.6,17.0,43.5,25.0,33.78,68.0,525.504,1.09,2.3
lab_con,C1-3,6270.0,14.0,70.0,25.0,44.0,56.00000000000001,638.4000000000001,0.0,3.6
lab_con,C1-5,4036.5,15.0,63.66,25.0,51.66,60.0,691.92,1.52,2.88
lab_con,C2-3,3750.0,17.0,41.66,25.0,33.33,68.0,509.93199999999996,2.08,3.21
lab_con,C2-5,10680.0,21.0,83.66,25.0,61.0,84.0,1215.144,2.3,1.73
lab_con,C4-5,11925.0,20.0,90.66,25.0,68.33,80.0,1271.92,0.57,2.08
