inoc,sal,grp,germ,root,shoot,svi,chla,car,protein,sugar,dpph,CMI
Control,0,Uninoculated,83.33333333333334,4.3,22.96,2271.666666666667,32.0,0.14,215.15,97.9,90.0,0.8221954609745472
Control,50,Uninoculated,80.0,4.06,21.04,2007.9999999999998,10.0,0.018,133.45,68.34,65.0,0.4472532413921232
Control,100,Uninoculated,66.66666666666666,3.61,19.0,1507.333333333333,8.8,0.032,104.62,49.21,82.0,0.3465840594798343
Control,150,Uninoculated,60.0,2.06,13.96,961.1999999999999,5.5,0.021,85.39,31.83,70.0,0.13949399390902617
IS-01,0,Single isolate,86.66666666666667,5.4,26.03,2723.9333333333334,20.1,0.037,162.29,78.77,64.0,0.6598433478057614
IS-01,50,Single isolate,76.66666666666667,5.03,24.09,2232.5333333333338,19.6,0.013,147.87,71.82,62.0,0.5383435212437155
IS-01,100,Single isolate,70.0,2.52,18.0,1436.3999999999999,17.0,0.052,133.45,68.34,62.0,0.377670213603541
IS-01,150,Single isolate,66.66666666666666,3.02,18.05,1404.6666666666665,11.4,0.037,114.23,56.17,63.0,0.3139871449685209
IS-02,0,Single isolate,70.0,5.0,23.9,2023.0,11.5,0.123,176.71,85.73,67.0,0.6100890904000884
IS-02,50,Single isolate,80.0,4.47,23.04,2200.7999999999997,11.0,0.015,162.29,78.77,67.0,0.5275809786427937
IS-02,100,Single isolate,63.33333333333333,3.09,17.01,1273.0,10.6,0.044,143.06,75.3,68.0,0.35717518627740746
IS-02,150,Single isolate,56.666666666666664,4.02,15.04,1080.0666666666666,6.4,0.024,123.84,71.82,65.0,0.2763747514782364
IS-03,0,Single isolate,80.0,2.43,22.06,1959.1999999999998,15.0,0.014,181.51,90.94,69.0,0.5171638694810291
IS-03,50,Single isolate,73.33333333333333,4.16,22.61,1963.1333333333332,13.5,0.074,171.9,83.99,72.0,0.5644746232232613
IS-03,100,Single isolate,66.66666666666666,3.48,23.0,1765.333333333333,11.7,0.063,152.68,80.51,69.0,0.48372234029583466
IS-03,150,Single isolate,53.333333333333336,3.48,23.0,1412.2666666666667,10.0,0.022,128.65,73.56,74.0,0.3746016507998016
IS-04,0,Single isolate,90.0,4.8,23.46,2543.4,16.5,0.047,191.12,92.68,73.0,0.6831339512920642
IS-04,50,Single isolate,86.66666666666667,4.78,23.4,2442.266666666667,15.3,0.037,176.71,85.73,74.0,0.6359966243689162
IS-04,100,Single isolate,73.33333333333333,4.03,19.33,1713.0666666666666,14.1,0.062,157.48,82.25,72.0,0.5016548990143025
IS-04,150,Single isolate,63.33333333333333,2.99,24.9,1766.3666666666666,12.5,0.033,133.45,78.77,78.0,0.46223752745922553
IS-05,0,Single isolate,86.66666666666667,6.44,26.96,2894.6666666666665,19.2,0.034,195.93,94.42,77.0,0.7714018947263108
IS-05,50,Single isolate,83.33333333333334,6.06,26.13,2682.5,19.6,0.046,181.57,87.47,77.0,0.7239671715055509
IS-05,100,Single isolate,66.66666666666666,1.08,22.04,1541.333333333333,18.3,0.067,167.09,85.73,74.0,0.4714339066649225
IS-05,150,Single isolate,70.0,5.03,23.68,2009.7,11.6,0.03,138.26,82.25,80.0,0.5338057875004947
IS-06,0,Single isolate,93.33333333333333,6.01,25.5,2940.933333333333,30.2,0.163,205.54,96.16,80.0,0.919094012984152
IS-06,50,Single isolate,90.0,5.52,25.05,2751.3,28.8,0.086,186.32,89.21,81.0,0.8025053849820076
IS-06,100,Single isolate,76.66666666666667,4.5,23.04,2111.4,25.2,0.077,176.71,87.47,78.0,0.6592011912772718
IS-06,150,Single isolate,70.0,5.02,28.19,2324.7000000000003,18.7,0.041,143.06,85.73,88.0,0.6465519617849184
C1-3,0,Consortium,66.66666666666666,2.33,18.8,1408.6666666666667,7.3,0.046,200.74,94.42,62.3,0.4254499794076738
C1-3,50,Consortium,73.33333333333333,3.52,22.0,1871.4666666666665,6.3,0.005,181.51,87.47,53.8,0.44166045612440014
C1-3,100,Consortium,70.0,3.03,20.2,1626.1000000000001,5.6,0.022,162.29,75.3,36.1,0.3332260938737038
C1-3,150,Consortium,66.66666666666666,3.52,19.8,1554.6666666666665,3.42,0.01,128.65,61.39,70.9,0.33384367732527165
C1-5,0,Consortium,86.66666666666667,2.3,16.5,1629.3333333333335,8.3,0.048,205.54,96.16,64.4,0.4866024989749842
C1-5,50,Consortium,80.0,2.42,24.0,2113.6000000000004,8.0,0.022,195.93,90.94,64.9,0.5233658167902865
C1-5,100,Consortium,66.66666666666666,3.07,22.0,1671.333333333333,7.6,0.027,181.51,77.03,65.5,0.4317592528376422
C1-5,150,Consortium,56.666666666666664,2.03,23.1,1424.0333333333335,4.6,0.02,133.45,63.12,76.6,0.32551892674820754
C2-3,0,Consortium,83.33333333333334,1.93,14.9,1402.5000000000002,10.5,0.053,210.35,97.9,63.7,0.4620434545761633
C2-3,50,Consortium,86.66666666666667,4.03,21.0,2169.266666666667,9.1,0.034,200.74,94.42,60.1,0.5655694231308808
C2-3,100,Consortium,76.66666666666667,2.5,16.53,1458.966666666667,4.7,0.035,186.32,78.77,71.4,0.4045549981979706
C2-3,150,Consortium,50.0,3.83,15.9,986.5,2.17,0.027,138.26,64.86,81.0,0.27651870784001026
C2-5,0,Consortium,76.66666666666667,2.23,16.6,1443.6333333333337,19.2,0.087,215.15,99.64,64.9,0.5321467149680421
C2-5,50,Consortium,83.33333333333334,2.8,20.3,1925.0000000000002,16.3,0.04,205.54,96.16,71.4,0.5732883087802768
C2-5,100,Consortium,73.33333333333333,3.4,23.3,1957.9999999999998,15.5,0.038,191.12,80.51,68.1,0.5376754959800725
