inoc,sal,trait,mit
IS-01,50,germ,-4.166666666666661
IS-01,100,germ,5.000000000000015
IS-01,150,germ,11.111111111111095
IS-02,50,germ,0.0
IS-02,100,germ,-4.999999999999993
IS-02,150,germ,-5.55555555555556
IS-03,50,germ,-8.33333333333334
IS-03,100,germ,0.0
IS-03,150,germ,-11.111111111111107
IS-04,50,germ,8.33333333333334
IS-04,100,germ,10.000000000000009
IS-04,150,germ,5.555555555555547
IS-05,50,germ,4.1666666666666785
IS-05,100,germ,0.0
IS-05,150,germ,16.666666666666664
IS-06,50,germ,12.5
IS-06,100,germ,15.000000000000025
IS-06,150,germ,16.666666666666664
IS-01,50,root,23.891625615763566
IS-01,100,root,-30.19390581717451
IS-01,150,root,46.60194174757281
IS-02,50,root,10.098522167487689
IS-02,100,root,-14.40443213296399
IS-02,150,root,95.14563106796113
IS-03,50,root,2.4630541871921316
IS-03,100,root,-3.601108033240994
IS-03,150,root,68.93203883495144
IS-04,50,root,17.733990147783267
IS-04,100,root,11.634349030470926
IS-04,150,root,45.145631067961176
IS-05,50,root,49.26108374384237
IS-05,100,root,-70.08310249307479
IS-05,150,root,144.1747572815534
IS-06,50,root,35.960591133004925
IS-06,100,root,24.653739612188367
IS-06,150,root,143.6893203883495
IS-01,50,shoot,14.496197718631182
IS-01,100,shoot,-5.263157894736842
IS-01,150,shoot,29.297994269340972
IS-02,50,shoot,9.505703422053232
IS-02,100,shoot,-10.473684210526308
IS-02,150,shoot,7.736389684813741
IS-03,50,shoot,7.461977186311788
IS-03,100,shoot,21.052631578947366
IS-03,150,shoot,64.756446991404
IS-04,50,shoot,11.216730038022812
IS-04,100,shoot,1.7368421052631489
IS-04,150,shoot,78.3667621776504
IS-05,50,shoot,24.192015209125476
IS-05,100,shoot,15.999999999999995
IS-05,150,shoot,69.62750716332377
IS-06,50,shoot,19.05893536121674
IS-06,100,shoot,21.263157894736835
IS-06,150,shoot,101.93409742120343
IS-01,50,svi,11.181938911022609
IS-01,100,svi,-4.705882352941167
IS-01,150,svi,46.136773477597444
IS-02,50,svi,9.601593625498007
IS-02,100,svi,-15.546218487394942
IS-02,150,svi,12.36648633652379
IS-03,50,svi,-2.234395750332
IS-03,100,svi,17.116320212295445
IS-03,150,svi,46.927451796365666
IS-04,50,svi,21.62682602921649
IS-04,100,svi,13.648827952233544
IS-04,150,svi,83.76681925371065
IS-05,50,svi,33.59063745019922
IS-05,100,svi,2.2556390977443614
IS-05,150,svi,109.08239700374534
IS-06,50,svi,37.01693227091636
IS-06,100,svi,40.07518796992485
IS-06,150,svi,141.85393258426973
IS-01,50,chla,96.00000000000001
IS-01,100,chla,93.18181818181816
IS-01,150,chla,107.27272727272728
IS-02,50,chla,10.0
IS-02,100,chla,20.454545454545443
IS-02,150,chla,16.36363636363637
IS-03,50,chla,35.0
IS-03,100,chla,32.95454545454544
IS-03,150,chla,81.81818181818183
IS-04,50,chla,53.0
IS-04,100,chla,60.227272727272705
IS-04,150,chla,127.27272727272727
IS-05,50,chla,96.00000000000001
IS-05,100,chla,107.95454545454544
IS-05,150,chla,110.9090909090909
IS-06,50,chla,188.0
IS-06,100,chla,186.36363636363632
IS-06,150,chla,240.0
IS-01,50,car,-27.777777777777775
IS-01,100,car,62.499999999999986
IS-01,150,car,76.19047619047618
IS-02,50,car,-16.666666666666664
IS-02,100,car,37.499999999999986
IS-02,150,car,14.285714285714283
